Start_Date	End_Date	Carrier	Volume
2021-11-08 00:00:00.000	2021-11-12 00:00:00.000	TransBridge	18
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	Academy	33
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	C & J Bus Lines	0
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	Coach USA	126
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	DeCamp	37
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	Greyhound	54
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	HCEE - Community	99
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	Lakeland	29
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	Martz	18
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	NJ Transit	2127
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	Peter Pan_Bonanza	29
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	Trailways	19
2021-11-15 00:00:00.000	2021-11-19 00:00:00.000	TransBridge	18
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	Academy	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	C & J Bus Lines	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	Coach USA	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	DeCamp	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	Greyhound	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	HCEE - Community	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	Lakeland	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	Martz	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	NJ Transit	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	Peter Pan_Bonanza	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	Trailways	0
2021-11-22 00:00:00.000	2021-11-26 00:00:00.000	TransBridge	0
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	Academy	36
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	C & J Bus Lines	0
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	Coach USA	129
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	DeCamp	37
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	Greyhound	55
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	HCEE - Community	92
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	Lakeland	29
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	Martz	18
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	NJ Transit	2155
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	Peter Pan_Bonanza	27
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	Trailways	21
2021-11-29 00:00:00.000	2021-12-03 00:00:00.000	TransBridge	18
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	Academy	35
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	C & J Bus Lines	0
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	Coach USA	128
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	DeCamp	37
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	Greyhound	54
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	HCEE - Community	94
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	Lakeland	29
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	Martz	18
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	NJ Transit	2149
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	Peter Pan_Bonanza	28
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	Trailways	19
2021-12-06 00:00:00.000	2021-12-10 00:00:00.000	TransBridge	18
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	Academy	35
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	C & J Bus Lines	0
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	Coach USA	127
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	DeCamp	37
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	Greyhound	55
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	HCEE - Community	96
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	Lakeland	29
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	Martz	18
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	NJ Transit	2154
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	Peter Pan_Bonanza	29
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	Trailways	19
2021-12-13 00:00:00.000	2021-12-17 00:00:00.000	TransBridge	18
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	Academy	36
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	C & J Bus Lines	0
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	Coach USA	128
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	DeCamp	37
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	Greyhound	55
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	HCEE - Community	96
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	Lakeland	25
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	Martz	17
